,ID,Annotater,video id,Attractive Level (1-5),Question 2: Sound (1-5),Question 2.1: Music (1-5),Question 2.2 : Noise control (1-5),Question 2.3 : Speaking Style (1-5),Question 3: Camera (1-5),Question 3.1: Stable (1-5),Question 3.2: Angel diversity (0-1),Question 4: Images (1-5),Question 4.1: Resolution (1-5),Question 4.2: Color (1-5),Question 5: Content (1-5),Question 5.1: Introduction (0-1),Question 5.2: Food description (0-1),Question 6: Reviewer (1-5),Question 6.1: Reviewer emotion is negative - neutral - positive (1-3),Question 6.2: Recommendation (0-1),Question 6.3: Clear information (0-1)
0,772,haitm,bEV3wlxA_Y0,3.0,3.0,3,2,3,3.0,3,0,3.0,4,3,4,0,1,3.0,2,0,1
0,234,nhanlh,79PQqt5whN0,2.0,3.0,1,3,5,3.0,2,0,4.0,4,4,3,0,1,4.0,2,0,0
0,574,Lamnh,6x9TT-C2Ygs,4.0,4.0,4,3,5,5.0,5,1,4.0,4,5,3,1,0,4.0,3,1,1
0,586,Lamnh,29tXNTWv9_E,3.0,3.0,2,2,3,3.0,4,1,3.0,4,2,3,1,0,3.0,2,0,1
0,651,haitm,ygmhxCyUfBk,2.0,3.0,2,2,2,2.0,2,0,3.0,4,2,3,0,1,3.0,3,0,0
0,45,hanl,bUg5DRoFhPk,1.0,1.0,1,1,2,3.0,5,0,1.0,4,1,1,0,0,2.0,2,0,0
0,252,baohg,j-USg2l-Akc,5.0,5.0,5,5,5,5.0,5,1,5.0,4,5,5,1,1,5.0,3,1,1
0,716,haitm,K-yJX0ekkc4,4.0,4.0,4,4,4,4.0,4,1,4.0,4,3,4,1,1,4.0,3,0,1
0,379,haitm,BNOsuTAEkQM,2.0,3.0,3,4,4,3.0,3,1,4.0,5,3,3,1,0,2.0,2,0,1
0,727,haitm,XX0BagsYdW0,2.0,2.0,2,2,2,3.0,2,0,3.0,4,2,3,1,0,3.0,2,0,0
0,208,hanl,TeE0xUNdtK4,4.0,5.0,4,5,4,5.0,5,1,4.0,3,3,4,1,1,4.0,3,0,1
0,746,haitm,1efyjUyR1rk,4.0,4.0,3,4,4,4.0,4,0,4.0,4,4,3,1,1,4.0,3,0,1
0,546,Lamnh,umhYUSmtkIw,3.0,3.0,3,3,2,3.0,4,1,3.0,4,3,2,1,1,4.0,2,0,1
0,782,haitm,h3SM1LTlzM0,4.0,4.0,4,4,4,4.0,4,1,4.0,4,4,4,1,1,5.0,3,0,1
0,464,Lamnh,WrMikg-ZRlY,1.0,3.0,1,1,1,1.0,1,0,3.0,4,1,1,0,0,2.0,1,0,0
0,391,haitm,kgo6wyMpCvI,3.0,3.0,2,3,4,3.0,3,0,3.0,4,3,3,1,1,3.0,2,0,0
0,133,hanl,tQ-sZLeix8w,2.0,3.0,3,3,2,2.0,4,1,3.0,3,2,1,0,0,1.0,1,0,0
0,493,Lamnh,EFbxgnqqblE,3.0,3.0,3,3,3,3.0,3,0,3.0,4,3,3,1,0,3.0,2,0,0
0,37,hanl,hyxBv3WGoF4,3.0,3.0,4,2,4,5.0,5,1,4.0,4,4,3,0,0,2.0,2,0,1
0,461,taidpa,HfkZ3I83Ntc,5.0,5.0,5,5,5,5.0,4,1,5.0,4,5,4,1,0,4.0,3,0,1
0,768,haitm,3MBqzpsDBUg,2.0,2.0,2,2,2,3.0,3,0,3.0,4,3,3,1,1,2.0,2,0,0
0,235,baohg,mfXlFpnduoA,4.0,3.0,5,2,3,2.0,1,0,4.0,5,4,4,1,1,4.0,3,0,1
0,167,hanl,AknMdiMU_L0,4.0,3.0,3,5,4,5.0,5,1,5.0,4,5,5,1,1,3.0,3,0,1
0,173,hanl,mMKOW0Eoyxo,5.0,4.0,4,3,5,5.0,4,1,5.0,4,5,5,1,0,5.0,3,1,1
0,559,Lamnh,NgX99Cljm0c,4.0,3.0,1,3,4,3.0,3,0,4.0,4,2,1,0,0,4.0,3,1,1
0,40,hanl,rU5DYb2sZPw,2.0,4.0,4,2,3,1.0,1,0,1.0,4,2,3,1,0,2.0,2,0,1
0,799,haitm,y0E-cGIhcDo,5.0,5.0,5,5,5,5.0,5,1,5.0,5,5,5,1,1,4.0,3,0,1
0,486,taidpa,h9RvI35wjXk,2.0,3.0,1,4,4,4.0,5,0,3.0,4,3,1,0,0,3.0,2,0,1
0,600,Lamnh,th-efp8Kb_w,3.0,3.0,3,1,3,3.0,3,1,3.0,3,3,3,1,1,3.0,2,0,1
0,357,nhanlh,MWcavRI4Vng,4.0,5.0,5,5,4,4.0,4,1,4.0,4,5,4,1,1,5.0,3,0,0
0,387,haitm,Td55SEUw-WY,3.0,2.0,1,4,3,3.0,3,0,3.0,4,3,3,0,1,3.0,3,0,1
0,80,hanl,YVU73shWxH0,5.0,5.0,5,3,5,5.0,5,1,5.0,4,5,5,1,1,5.0,3,1,1
0,458,Lamnh,omYjYA5XA7g,3.0,2.0,2,2,3,4.0,4,1,4.0,4,4,3,0,0,3.0,2,0,1
0,111,hanl,YrMdSvixbGk,4.0,3.0,3,3,5,5.0,5,1,4.0,4,4,5,1,1,4.0,3,1,1
0,98,hanl,mSJLTdftJsc,2.0,2.0,1,2,4,3.0,5,1,3.0,4,3,1,0,1,1.0,2,0,1
0,455,taidpa,n1-Frkqg6Og,3.0,2.0,3,1,3,2.0,2,0,4.0,4,4,3,0,1,4.0,3,0,1
0,637,Lamnh,9R8LzNUW4s4,4.0,5.0,5,4,5,5.0,5,1,4.0,5,4,5,1,0,4.0,3,0,1
0,749,haitm,to3aBVlHvx4,3.0,3.0,3,3,3,3.0,3,0,4.0,3,3,4,0,1,3.0,2,0,1
0,364,nhanlh,ajRTBECDu0o,4.0,3.0,4,2,4,4.0,3,0,4.0,4,5,4,1,1,4.0,3,1,1
0,795,haitm,4SB9AHOW7X0,3.0,3.0,3,1,3,3.0,3,0,4.0,5,4,4,1,1,4.0,2,0,1
0,658,haitm,g2XL4Km5HXY,5.0,4.0,4,4,5,5.0,5,1,4.0,4,4,3,1,0,4.0,3,0,1
0,256,baohg,DCedBuOsQrg,2.0,3.0,2,3,4,2.0,2,1,4.0,4,4,2,1,1,3.0,2,1,1
0,592,Lamnh,qH9Q3ee0LQY,3.0,4.0,3,4,3,3.0,3,0,3.0,4,3,3,0,0,3.0,2,0,1
0,622,Lamnh,h2_-1a7dFzc,4.0,3.0,3,2,4,3.0,3,1,3.0,4,3,3,0,0,4.0,3,0,1
0,529,haitm,JG_LLt3QYbs,2.0,3.0,3,3,2,4.0,4,1,4.0,4,3,3,1,1,4.0,2,1,1
0,11,hanl,3qfTtx3yG5U,4.0,3.0,3,3,4,4.0,5,1,4.0,4,4,4,1,1,3.0,2,0,1
0,671,Lamnh,HEYLbIedh9s,2.0,2.0,2,2,2,3.0,3,0,3.0,4,3,2,1,0,2.0,2,0,0
0,155,hanl,dEuQ2SqmxqA,2.0,3.0,2,3,3,2.0,4,0,3.0,4,3,1,0,0,1.0,2,0,0
0,293,baohg,F15RijUo1_U,5.0,5.0,5,5,5,5.0,5,1,5.0,4,5,5,1,1,5.0,3,1,1
0,505,taidpa,nUNoO7kbxrI,2.0,4.0,4,4,4,3.0,3,0,4.0,4,4,3,1,0,2.0,3,0,0
0,589,Lamnh,z5j8rKWPCcU,2.0,4.0,4,2,2,3.0,3,1,3.0,4,2,3,1,1,3.0,2,0,1
0,15,hanl,rSTBg8w7F8I,3.0,5.0,4,4,5,2.0,4,1,3.0,3,3,1,0,0,2.0,3,0,0
0,308,anhmt,huWGHQrpxL0,5.0,5.0,5,4,5,4.0,3,1,5.0,4,5,5,1,1,5.0,3,1,1
0,516,haitm,iDCC0SEHDY8,2.0,2.0,2,2,3,2.0,4,0,3.0,4,2,3,0,0,3.0,2,0,0
0,371,haitm,wGqXQMmI7Jg,2.0,2.0,3,2,3,3.0,3,1,3.0,4,2,3,0,0,2.0,1,1,1
0,336,anhmt,fgfEhKvOebM,2.0,3.0,3,2,4,2.0,2,0,3.0,4,2,3,0,1,3.0,2,1,1
0,382,haitm,q2mArd-gwr4,2.0,3.0,3,4,4,3.0,3,1,4.0,5,3,3,1,0,2.0,2,0,1
0,451,Lamnh,jNCY7F5Kj9E,4.0,3.0,1,2,3,2.0,3,1,4.0,4,3,3,0,1,4.0,2,1,1
0,333,anhmt,LOo2gkuecYg,2.0,3.0,4,2,3,2.0,1,0,2.0,4,1,2,0,1,3.0,2,1,0
0,566,Lamnh,mSg4AmqvT0I,3.0,4.0,3,4,4,4.0,4,1,5.0,4,5,3,1,1,3.0,2,0,1
0,189,hanl,IyguP0MEMso,5.0,4.0,4,4,5,5.0,5,1,5.0,4,5,4,1,1,5.0,3,1,1
0,145,hanl,TfP3TSml0E4,2.0,1.0,1,1,3,2.0,3,0,4.0,4,4,3,0,1,2.0,3,0,0
0,313,anhmt,GL3mfWvsF24,5.0,5.0,5,5,5,5.0,5,1,4.0,4,5,4,1,1,4.0,3,1,1
0,60,hanl,eZCiJihCPUE,4.0,5.0,5,4,5,5.0,5,1,4.0,4,4,5,1,1,5.0,3,1,1
0,524,Lamnh,o1ajIArgiBw,4.0,4.0,4,3,4,3.0,4,1,4.0,4,4,3,1,0,3.0,3,0,1
0,195,hanl,PCMomiiobXw,1.0,4.0,1,5,2,1.0,2,1,2.0,4,2,1,0,1,3.0,2,0,1
0,105,hanl,TFGgOwCBP3g,4.0,2.0,5,4,4,5.0,5,1,3.0,4,3,5,1,1,4.0,2,1,1
0,652,Lamnh,jIn-9E0jVpY,3.0,2.0,3,2,4,4.0,3,1,3.0,4,3,3,1,0,3.0,3,0,1
0,660,Lamnh,DceuZyI6rHk,3.0,2.0,3,2,3,3.0,3,0,3.0,4,3,3,0,0,3.0,2,0,1
0,791,haitm,9eia-UYOTCg,3.0,3.0,3,4,3,3.0,3,1,4.0,5,3,3,1,1,4.0,3,0,1
0,216,hanl,RJyyho7bfkg,5.0,4.0,5,5,4,5.0,5,1,5.0,4,5,5,1,1,4.0,2,0,1
0,284,nhanlh,Ht8zjBL6hcw,1.0,1.0,1,1,3,1.0,1,0,1.0,4,1,1,0,0,1.0,3,1,0
0,260,baohg,SA-Nq84Cmok,5.0,5.0,4,4,5,5.0,4,1,5.0,4,5,5,1,1,5.0,3,1,1
0,203,hanl,QZ_PhvS3FGY,2.0,3.0,3,2,4,3.0,3,1,3.0,4,2,2,1,0,3.0,2,0,1
0,101,hanl,eLAnrkkkLTw,4.0,2.0,1,2,4,5.0,5,1,5.0,5,5,3,1,1,5.0,3,1,1
0,22,hanl,iljkdsw4JfA,5.0,5.0,5,5,5,5.0,5,1,5.0,5,5,5,1,1,5.0,3,0,1
0,475,Lamnh,3HDFFCYW7WE,3.0,1.0,1,1,1,1.0,1,0,1.0,3,3,1,0,0,3.0,2,0,0
0,180,hanl,l5H6jl_g2XE,5.0,5.0,5,5,5,5.0,5,1,5.0,4,5,5,1,1,5.0,3,1,1
0,67,hanl,0BVPs22v2kg,3.0,4.0,4,3,2,4.0,5,1,1.0,4,1,1,0,0,2.0,2,1,0
0,717,haitm,1N2P1XFaiFA,3.0,2.0,2,2,3,3.0,3,1,4.0,4,3,3,1,0,3.0,2,0,0
0,348,nhanlh,HjqXMl4mJ6E,3.0,3.0,3,2,5,3.0,2,1,4.0,4,4,3,1,1,2.0,3,0,0
0,786,haitm,UVasq9dkass,2.0,2.0,1,3,3,3.0,3,0,2.0,3,2,3,1,0,3.0,2,0,0
0,487,taidpa,H4F0wPu0Bzg,4.0,4.0,5,4,5,4.0,4,1,3.0,4,3,1,0,0,4.0,3,0,1
0,564,Lamnh,T4lSN47hwA4,1.0,1.0,2,1,3,2.0,3,0,3.0,4,3,3,1,0,2.0,2,0,0
0,324,anhmt,0g_ko195cLQ,4.0,3.0,3,2,5,4.0,3,1,4.0,4,2,4,1,1,4.0,3,1,0
0,88,hanl,TvnavJ5QJC4,3.0,4.0,3,4,5,4.0,4,1,3.0,4,3,5,1,1,3.0,3,0,1
0,377,haitm,xa-w2ZinkTU,2.0,3.0,3,3,3,3.0,3,0,4.0,5,3,2,0,0,2.0,2,0,0
0,723,haitm,HWfbVEUuc1U,3.0,3.0,3,3,4,4.0,3,1,5.0,5,3,4,1,1,4.0,3,0,1
0,803,haitm,qXNpAaB51U0,2.0,3.0,2,4,3,3.0,3,0,4.0,4,2,3,1,1,3.0,2,0,0
0,501,Lamnh,w8f4mRCLrdU,4.0,4.0,4,1,3,4.0,4,1,3.0,4,1,3,1,1,4.0,2,1,1
0,549,haitm,PLvjuNKms0M,2.0,2.0,1,2,3,2.0,2,0,4.0,4,2,1,0,0,2.0,1,0,0
0,76,hanl,PkZt3ljyn4M,5.0,5.0,5,5,5,5.0,5,1,5.0,4,5,3,1,0,4.0,3,1,1
0,630,Lamnh,Jc6jWEppIUM,3.0,3.0,4,3,3,4.0,4,1,3.0,4,3,2,1,0,3.0,3,0,0
0,522,Lamnh,OkbgEHmbmkA,2.0,2.0,3,2,2,2.0,3,0,3.0,4,3,1,0,0,1.0,1,0,0
0,279,nhanlh,CN3amREEDag,5.0,5.0,5,5,5,5.0,5,1,5.0,4,5,5,1,1,5.0,3,1,1
0,27,hanl,QXR-hOL5fFs,3.0,3.0,1,2,4,5.0,5,1,4.0,5,4,3,1,1,4.0,3,1,1
0,57,hanl,otns7IbEAaY,2.0,3.0,4,2,3,1.0,5,1,3.0,5,1,1,0,0,1.0,3,0,0
0,489,Lamnh,BE_hHopKqQ8,3.0,3.0,4,3,4,5.0,5,1,4.0,4,5,4,1,0,3.0,3,0,1
0,506,Lamnh,ImXVg79fy94,4.0,4.0,4,4,3,4.0,4,1,2.0,1,1,5,1,1,3.0,2,1,1
0,644,Lamnh,tViXaXuwqFc,3.0,3.0,3,4,4,4.0,4,1,4.0,4,3,2,1,1,3.0,2,0,1
0,536,Lamnh,B1zTL3RLlkg,2.0,3.0,3,3,3,4.0,3,1,4.0,4,3,3,1,0,3.0,2,0,0
0,539,Lamnh,uK2-dN0UqLY,3.0,4.0,3,4,4,5.0,5,1,4.0,4,4,5,1,1,4.0,2,0,1
0,729,haitm,KVUKosOOK2A,3.0,3.0,3,2,3,3.0,3,1,3.0,4,3,4,0,1,3.0,3,0,1
0,160,hanl,je9PmQhyHDk,4.0,4.0,4,4,4,4.0,4,1,5.0,4,5,3,1,1,4.0,3,0,1
0,614,haitm,7dDh3i5qYt4,2.0,2.0,1,2,3,3.0,3,0,3.0,4,2,1,0,0,3.0,2,0,1
0,138,hanl,mSDRsSLbN0I,3.0,3.0,1,3,2,3.0,3,1,3.0,3,3,3,1,1,3.0,2,0,1
